"Elem_name"	"ion_state"	"Wl"	"Ei"	"Ek"	"Ak"	"gi"	"gk"
"Fe"	"II"	157.85	2.54377802	10.3983625	7.4e+07	6	6
"Fe"	"II"	157.926	4.83702231	12.6878163	3.4e+07	4	6
"Fe"	"II"	158.023	5.36090398	13.2068727	1.5e+07	6	8
"Fe"	"II"	158.063	0.30129858	8.1452725	5.8e+07	8	10
"Fe"	"II"	158.129	4.76830747	12.6090094	7.2e+07	10	10
"Fe"	"II"	158.142	3.9441623	11.7842241	4e+07	6	6
"Fe"	"II"	158.298	4.8178982	12.6502274	2.7e+07	6	8
"Fe"	"II"	158.495	0.35186476	8.1744466	5.8e+07	6	8
"Fe"	"II"	158.528	3.96737644	11.788336	5.7e+07	8	8
"Fe"	"II"	158.599	2.64185518	10.4592796	9e+07	4	4
"Fe"	"II"	158.633	4.79323577	12.6090094	2e+07	8	10
"Fe"	"II"	158.645	5.40831276	13.2235251	7e+06	4	6
"Fe"	"II"	158.69	5.40831276	13.2212958	2.3e+07	4	2
"Fe"	"II"	158.701	5.40831276	13.2207434	1.5e+07	4	4
"Fe"	"II"	158.829	0.38651921	8.1926616	4.8e+07	4	6
"Fe"	"II"	159.012	3.9441623	11.741355	6e+06	6	6
"Fe"	"II"	159.014	5.25709365	13.0541176	2.6e+07	4	4
"Fe"	"II"	159.039	5.26187092	13.0576934	1.9e+07	2	4
"Fe"	"II"	159.056	5.24885175	13.0438578	2.6e+07	6	6
"Fe"	"II"	159.112	5.26187092	13.0541176	6.1e+07	2	4
"Fe"	"II"	159.163	5.23672772	13.0264775	1.7e+07	8	8
"Fe"	"II"	159.224	5.25709365	13.0438578	8e+07	4	6
"Fe"	"II"	159.353	5.22157443	13.0020396	9e+06	10	10
"Fe"	"II"	159.366	5.22157443	13.0014086	2.4e+07	10	12
"Fe"	"II"	159.411	5.24885175	13.0264775	8e+07	6	8
"Fe"	"II"	159.542	5.23672772	13.0079946	1.2e+07	8	10
"Fe"	"II"	159.664	5.23672772	13.0020396	8e+07	8	10
"Fe"	"II"	159.822	5.23672772	12.9944385	2100000	8	10
